,string_constant,float_constant,int_constant,string,"ident,",ident(,return,print,float,ident,break,else,read,null,new,int,def,for,>=,if,<=,!=,==,<,),=,%,;,+,(,],-,$,>,/,},[,*,{
PRINTSTAT,--,--,--,--,--,--,--,print EXPRESSION,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
READSTAT,--,--,--,--,--,--,--,--,--,--,--,--,read LVALUE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
RETURNSTAT,--,--,--,--,--,--,return,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
IFSTAT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,if ( EXPRESSION ) STATEMENT J`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
J`,--,--,--,\epsilon,--,--,\epsilon,\epsilon,\epsilon,\epsilon,\epsilon,else STATEMENT,\epsilon,--,--,\epsilon,--,\epsilon,--,\epsilon,--,--,--,--,--,--,--,\epsilon,--,--,--,--,\epsilon,--,--,\epsilon,--,--,\epsilon
FORSTAT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,for ( ATRIBSTAT ; EXPRESSION ; ATRIBSTAT ) STATEMENT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
STATELIST,--,--,--,STATEMENT K`,--,--,STATEMENT K`,STATEMENT K`,STATEMENT K`,STATEMENT K`,STATEMENT K`,--,STATEMENT K`,--,--,STATEMENT K`,--,STATEMENT K`,--,STATEMENT K`,--,--,--,--,--,--,--,STATEMENT K`,--,--,--,--,--,--,--,--,--,--,STATEMENT K`
K`,--,--,--,STATELIST,--,--,STATELIST,STATELIST,STATELIST,STATELIST,STATELIST,--,STATELIST,--,--,STATELIST,--,STATELIST,--,STATELIST,--,--,--,--,--,--,--,STATELIST,--,--,--,--,--,--,--,\epsilon,--,--,STATELIST
ALLOCEXPRESSION,--,--,--,--,--,--,--,--,--,--,--,--,--,--,new D`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
D`,--,--,--,string [ NUMEXPRESSION ] Z,--,--,--,--,float [ NUMEXPRESSION ] Z,--,--,--,--,--,--,int [ NUMEXPRESSION ] Z,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Z,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,--,\epsilon,--,--,--,--,--,--,--,--,[ NUMEXPRESSION ] Z,--,--
EXPRESSION,NUMEXPRESSION L`,NUMEXPRESSION L`,NUMEXPRESSION L`,--,--,--,--,--,--,NUMEXPRESSION L`,--,--,--,NUMEXPRESSION L`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NUMEXPRESSION L`,NUMEXPRESSION L`,--,NUMEXPRESSION L`,--,--,--,--,--,--,--
L`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,>= NUMEXPRESSION,--,<= NUMEXPRESSION,!= NUMEXPRESSION,== NUMEXPRESSION,< NUMEXPRESSION,\epsilon,--,--,\epsilon,--,--,--,--,--,> NUMEXPRESSION,--,--,--,--,--
NUMEXPRESSION,TERM A`,TERM A`,TERM A`,--,--,--,--,--,--,TERM A`,--,--,--,TERM A`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,TERM A`,TERM A`,--,TERM A`,--,--,--,--,--,--,--
A`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,\epsilon,\epsilon,\epsilon,\epsilon,\epsilon,--,--,\epsilon,+ TERM A`,--,\epsilon,- TERM A`,--,\epsilon,--,--,--,--,--
TERM,UNARYEXPR C`,UNARYEXPR C`,UNARYEXPR C`,--,--,--,--,--,--,UNARYEXPR C`,--,--,--,UNARYEXPR C`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,UNARYEXPR C`,UNARYEXPR C`,--,UNARYEXPR C`,--,--,--,--,--,--,--
C`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,\epsilon,\epsilon,\epsilon,\epsilon,\epsilon,--,% UNARYEXPR C`,\epsilon,\epsilon,--,\epsilon,\epsilon,--,\epsilon,/ UNARYEXPR C`,--,--,* UNARYEXPR C`,--
UNARYEXPR,FACTOR,FACTOR,FACTOR,--,--,--,--,--,--,FACTOR,--,--,--,FACTOR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,+ FACTOR,FACTOR,--,- FACTOR,--,--,--,--,--,--,--
FACTOR,string_constant,float_constant,int_constant,--,--,--,--,--,--,LVALUE,--,--,--,null,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,( NUMEXPRESSION ),--,--,--,--,--,--,--,--,--
LVALUE,--,--,--,--,--,--,--,--,--,ident B`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
B`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,\epsilon,\epsilon,\epsilon,\epsilon,\epsilon,\epsilon,\epsilon,\epsilon,\epsilon,--,\epsilon,\epsilon,--,\epsilon,\epsilon,--,[ NUMEXPRESSION ] B`,\epsilon,--
